"","obs","study","id","yieldcontrol","yieldcover","SD.EXP.","SD.CON.","Type","N.control.","N.exp.","Dferror","Species","Nitrogen","Years","Tillage","killdate","State","BioOrGrain","authors","pubyear","datayears","Design","Reps","SoilType","corn.cultivar","corn.pl.date.actual","corn.pl.date.julian","corn.hv.date.actual","corn.hv.date.julian","corn.population","corn.growseason.julian","X","cc.cultivar","cc.pl.date.actual","cc.pl.date.julian","cc.pl.method","cc.seed.rate.seeds.ha","cc.seed.rate.kg.ha","cc.kill.date.dbplcorn","cc.kill.date.actual","cc.kill.date.julian","cc.growseason.julian","cc.kill.method","cc.bmass","corn.bmass","cc.rain","corn.rain","cc.temp","corn.temp","cc.nitro.uptake","purpose.study","metaA","region","soiltexture.authors","soiltexture.ours","NFR","KDate","yi","vi"
"47",47,"g15","15d",7.14,7.71,1.97,2.2,"grass",3,3,6,"rye",168,3,"CT",NA,"Alabama","grain","Mourtzinis, Arriaga, Balkcom, Price",2015,"2009, 2010, 2011","Split Plot",3,"Coarse-loamy, siliceous, subactive, thermic Plinthic Paleudult and fine, kaolinitic, thermic Rhodic Paleudult",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","south east","Fine","Coarse","mid",NA,0.076805411223745,0.0534088277597311
"48",48,"g15","15f",7.07,6.4,1.73,1.01,"grass",3,3,6,"rye",168,3,"CT",NA,"Alabama","grain","Mourtzinis, Arriaga, Balkcom, Price",2015,"2009, 2010, 2011","Split Plot",3,"Coarse-loamy, siliceous, subactive, thermic Plinthic Paleudult and fine, kaolinitic, thermic Rhodic Paleudult",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","south east","fine","coarse","mid",NA,-0.0995624895428552,0.0311590036405187
"49",49,"g15","15g",7.07,7.14,1.5,1.01,"grass",3,3,6,"rye",168,3,"CT",NA,"Alabama","grain","Mourtzinis, Arriaga, Balkcom, Price",2015,"2009, 2010, 2011","Split Plot",3,"Coarse-loamy, siliceous, subactive, thermic Plinthic Paleudult and fine, kaolinitic, thermic Rhodic Paleudult",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2802800,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G","south east","fine","coarse","mid",NA,0.00985229644301164,0.0215144881482005
"50",50,"g16","16d",4.58,5.74,4.64,1.05,"legume",2,2,27,"hairy vetch",0,2,"CT",NA,"North Carolina","grain","Parr, Grossman, Reberg-Horton, Brinton, Crozier",2011,"2009, 2010","RCBD",4,"Tidewater, Piedmont, Caswell","Ag.Venture AV8262","5/4/2016",124,"9/10/2016",253,90000,129,"","AUMerit_AUEarlyCover_EarlyCoverWinterhardy_PurpleProsperity","10/3/2016",276,"drilling",997920,28,0,"5/4/2016",124,213,"mechanical",4.665,NA,653.5,594,3.42,18.267,151.81,"Nitrogen fixation","G","south east","fine","medium","low",NA,0.225760212205381,0.353004393270535
"51",51,"g16","16f",4.58,4.36,3.66,1.05,"legume",2,2,27,"common vetch",0,2,"CT",1,"North Carolina","grain","Parr, Grossman, Reberg-Horton, Brinton, Crozier",2011,"2009, 2010","RCBD",4,"Tidewater, Piedmont, Caswell","Ag.Venture AV8262","5/4/2016",124,"9/10/2016",253,90000,129,"","unstated","10/3/2016",276,"drilling",997920,28,0,"5/4/2016",124,213,"mechanical",3.923,NA,653.5,594,3.42,18.267,127.33,"Nitrogen fixation","G","south east","fine","medium","low","late",-0.0492269407651505,0.378617299370978
"52",52,"g16","16h",4.58,3.71,1.8,1.05,"legume",2,2,27,"crimson clover",0,2,"CT",1,"North Carolina","grain","Parr, Grossman, Reberg-Horton, Brinton, Crozier",2011,"2009, 2010","RCBD",4,"Tidewater, Piedmont, Caswell","Ag.Venture AV8262","5/4/2016",124,"9/10/2016",253,90000,129,"","denmark","10/3/2016",276,"drilling",3388000,22,0,"5/4/2016",124,213,"mechanical",2.85,NA,653.5,594,3.42,18.267,43.66,"Nitrogen fixation","G","south east","fine","medium","low","late",-0.21066712150675,0.1439770215834
"53",53,"g16","16p",4.58,3.74,1,1.05,"legume",2,2,27,"austrian winter pea",0,2,"CT",1,"North Carolina","grain","Parr, Grossman, Reberg-Horton, Brinton, Crozier",2011,"2009, 2010","RCBD",4,"Tidewater, Piedmont, Caswell","Ag.Venture AV8262","5/4/2016",124,"9/10/2016",253,90000,129,"","unstated_WrensAbruzzi","10/3/2016",276,"drilling",2440240,106,0,"5/4/2016",124,213,"mechanical",6.48,NA,653.5,594,3.42,18.267,112.75,"Nitrogen fixation","G","south east","fine","fine","low","late",-0.202613386699653,0.062025479599357
"54",54,"g17","17b",10.44,9.39,3.94,4.71,"biculture",2,2,18,"radish_canola_turnip_lentil_pea_millet_sum",0,2,"NT",1,"South Dakota","grain","Reese, Clay, Clay, Bich, Kennedy, Hansen, Moriles",2014,"2010, 2011","Split Plot",4,"Fine-loamy, mixed, frigid Typic Argiborolls","Mycogen2J463_Stine9204_REA3V374","5/3/2016",123,"10/4/2016",277,70800,154,"","unstated","8/28/2016",240,"drilling",1613937.6,13,210,"10/4/2016",278,38,"winterfrost",1.014,NA,217,1100,9.37,11.58,NA,"Corn productivity effects of ccrops in dry areas","G","great plains","fine","fine","low","late",-0.105999289234321,0.189798015802751
"55",55,"g17","17c",10.42,9.78,3.15,3.48,"biculture",2,2,18,"radish_canola_turnip_lentil_pea_millet_sum",34,2,"NT",1,"South Dakota","grain","Reese, Clay, Clay, Bich, Kennedy, Hansen, Moriles",2014,"2010, 2011","Split Plot",4,"Fine-loamy, mixed, frigid Typic Argiborolls","Mycogen2J463_Stine9204_REA3V374","5/3/2016",123,"10/4/2016",277,70800,154,"","unstated","8/28/2016",240,"drilling",1613937.6,13,210,"10/5/2016",278,38,"winterfrost",1.014,NA,217,1100,9.37,11.58,NA,"Corn productivity effects of ccrops in dry areas","G","great plains","fine","fine","low","late",-0.0633875522784949,0.107638685443278
"56",56,"g17","17d",11.49,10.45,2.13,3.23,"biculture",2,2,18,"radish_canola_turnip_lentil_pea_millet_sum",67,2,"NT",1,"South Dakota","grain","Reese, Clay, Clay, Bich, Kennedy, Hansen, Moriles",2014,"2010, 2011","Split Plot",4,"Fine-loamy, mixed, frigid Typic Argiborolls","Mycogen2J463_Stine9204_REA3V374","5/3/2016",123,"10/4/2016",277,70800,154,"","unstated","8/28/2016",240,"drilling",1613937.6,13,210,"10/5/2016",278,38,"winterfrost",1.014,NA,217,1100,9.37,11.58,NA,"Corn productivity effects of ccrops in dry areas","G","great plains","fine","fine","low","late",-0.0948751134498444,0.0602854200020803
"57",57,"g17","17e",11.49,11.31,2.1,2.86,"biculture",2,2,18,"radish_canola_turnip_lentil_pea_millet_sum",134,2,"NT",1,"South Dakota","grain","Reese, Clay, Clay, Bich, Kennedy, Hansen, Moriles",2014,"2010, 2011","Split Plot",4,"Fine-loamy, mixed, frigid Typic Argiborolls","Mycogen2J463_Stine9204_REA3V374","5/3/2016",123,"10/4/2016",277,70800,154,"","unstated","8/28/2016",240,"drilling",1613937.6,13,210,"10/5/2016",278,38,"winterfrost",1.014,NA,217,1100,9.37,11.58,NA,"Corn productivity effects of ccrops in dry areas","G","great plains","fine","fine","mid","late",-0.0157898017326352,0.0482164775144184
"58",58,"g18","18b",20.17,18.61,5.23,4.28,"grass",2,2,48,"rye",168,2,"NT",35,"Iowa","grain","Singer, Kohler",2005,"2003, 2004","Split Plot",4,"Fine-loamy, mixed, superactive, mesic Cumulic Typic and Cumulic Hapludolls","Dekalb DKC 53-33","4/22/2016",112,"10/7/2016",280,82500,168,"","rymin","9/27/2016",270,"drilling",4380720,110,35,"5/27/2016",77,242,"chemical",0.2728,NA,NA,NA,NA,NA,NA,"Affect of Rye CC managemnet on grain yield","G","north central","fine","medium","mid","early",-0.0804972813119611,0.0620030506379869
"59",59,"g19","19b",9.71,9.59,2.22,2.37,"biculture",3,3,17,"crimson clover_lentil_winter wheat",0,3,"CT",NA,"South Dakota","grain","Bich, Reese, Kennedy, Clay, Clay",2014,"2010, 2011, 2012","Split Plot",4,"Fine loamy mixed frigid typic Argiborolls","Mycogen 2J463_Stine9204_Mycogen2J339_REA3V375_DKC48-12","5/11/2016",131,"10/2/2016",275,29250,144,"","unstated","6/22/2016",173,"interseeding",415226,24,244,"9/9/2016",252,79,"chemical",0.071,NA,245,413,NA,NA,NA,"Cover crop Interseeding in standing corn","G","great plains","fine","fine","low",NA,-0.0124353934078868,0.0377207827084591
"60",60,"g19","19c",9.71,9.63,2.28,2.37,"biculture",3,3,17,"crimson clover_lentil_winter wheat",0,3,"CT",NA,"South Dakota","grain","Bich, Reese, Kennedy, Clay, Clay",2014,"2010, 2011, 2013","Split Plot",4,"Fine loamy mixed frigid typic Argiborolls","Mycogen 2J463_Stine9204_Mycogen2J339_REA3V375_DKC48-12","5/11/2016",131,"10/2/2016",275,29250,144,"","unstated","6/22/2016",173,"interseeding",415226,24,244,"9/9/2016",252,79,"chemical",0.071,NA,245,413,NA,NA,NA,"Cover crop Interseeding in standing corn","G","great plains","fine","fine","low",NA,-0.0082730564931994,0.0385431861354503
"61",61,"g20","20b",3.45,4.4,0.2,0.8,"legume",3,3,36,"red clover",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth","7/14/2016",195,"drilling",13174480,22,7,"5/14/2016",134,304,"mechanical",0.3529,7.45,1138.17,592.715,8.04,16.9698,6.81097,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.243230309880947,0.0186121106811947
"62",62,"g20","20c",3.45,6.7,0.7,0.8,"legume",3,3,36,"red clover",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth","7/14/2016",195,"drilling",13174480,22,7,"5/14/2016",134,304,"mechanical",0.3529,7.45,1138.17,592.715,8.04,16.9698,6.81097,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.663733295353652,0.0215619292459508
"63",63,"g20","20d",3.45,7,0.8,0.8,"biculture",3,3,36,"red clover_rye",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth_unstated","10/7/2016",280,"drilling",15576880,154,7,"5/14/2016",134,219,"mechanical",1.2599,7.45,1138.17,592.715,8.04,16.9698,NA,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.707535918012045,0.0222771469436336
"64",64,"g20","20e",5.25,4.4,0.2,0.25,"legume",3,3,36,"red clover",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth","7/14/2016",195,"drilling",13174480,22,7,"5/14/2016",134,304,"mechanical",0.3529,7.45,1138.17,592.715,8.04,16.9698,6.81097,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",-0.176623535679317,0.00144456313287482
"65",65,"g20","20f",5.25,6.7,0.7,0.25,"legume",3,3,36,"red clover",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth","7/14/2016",195,"drilling",13174480,22,7,"5/14/2016",134,304,"mechanical",0.3529,7.45,1138.17,592.715,8.04,16.9698,6.81097,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.243879449793388,0.00439438169763091
"66",66,"g20","20g",5.25,7,0.8,0.25,"biculture",3,3,36,"red clover_rye",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth_unstated","10/7/2016",280,"drilling",15576880,154,7,"5/14/2016",134,219,"mechanical",1.2599,7.45,1138.17,592.715,8.04,16.9698,NA,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.287682072451781,0.00510959939531368
"67",67,"g20","20h",4.9,4.4,0.2,0.3,"legume",3,3,36,"red clover",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth","7/14/2016",195,"drilling",13174480,22,7,"5/14/2016",134,304,"mechanical",0.3529,7.45,1138.17,592.715,8.04,16.9698,6.81097,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",-0.107630664192365,0.00193818461774995
"68",68,"g20","20i",4.9,6.7,0.7,0.3,"legume",3,3,36,"red clover",0,3,"CT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth","7/14/2016",195,"drilling",13174480,22,7,"5/14/2016",134,304,"mechanical",0.3529,7.45,1138.17,592.715,8.04,16.9698,6.81097,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.312872321280339,0.00488800318250604
"69",69,"g20","20j",4.9,7,0.8,0.3,"biculture",3,3,36,"red clover_rye",0,3,"NT",0,"Michigan","grain","Smith, Gross, Robertson",2008,"2002, 2003, 2004","RCBD",4,"Loamy, mixed, mesic Typic Hapludalfs","Pioneer 35Y54","5/21/2016",141,"10/5/2016",278,71000,137,"","mammoth_unstated","10/7/2016",280,"drilling",15576880,154,7,"5/14/2016",134,219,"mechanical",1.2599,7.45,1138.17,592.715,8.04,16.9698,NA,"Ecological diversity effects on crop yields, Nitrogen and weed supression","G","north central","fine","medium","low","late",0.356674943938732,0.00560322088018881
"70",70,"g21","21b",9.99,9.72,0.41,0.27,"grass",2,2,24,"rye",215,2,"CT",7,"Iowa","grain","Parkin, Kaspar",2006,"2003, 2004","RCBD",4,"Fine-loamy mixed superactive mesic Typic Endoaquolls and Typic Hapludoll and Aquic Hapludoll","Pioneer 34B23","4/21/2016",111,"10/7/2016",280,79000,169,"","rymin","9/23/2016",266,"drilling",3800000,95,7,"4/14/2016",104,203,"chemical",1.171,9.12,796.5,580.33,1.812,19.26,17.56,"Cover crops Nitrous Oxide emissions in Corn-Soybean","G","north central","fine","medium","high","mid",-0.0273989741881144,0.00125485142639643
"71",71,"g21","21c",9.83,9.72,0.41,0.68,"grass",2,2,24,"rye",215,2,"NT",7,"Iowa","grain","Parkin, Kaspar",2006,"2003, 2004","RCBD",4,"Fine-loamy mixed superactive mesic Typic Endoaquolls and Typic Hapludoll and Aquic Hapludoll","Pioneer 34B23","4/21/2016",111,"10/7/2016",280,79000,169,"","rymin","9/23/2016",266,"drilling",3800000,95,7,"4/14/2016",104,203,"chemical",1.171,9.12,796.5,580.33,1.812,19.26,17.56,"Cover crops Nitrous Oxide emissions in Corn-Soybean","G","north central","fine","medium","high","mid",-0.0112533156867274,0.003282280256458
"72",72,"g22","22b",6,4.85,2.65,2.5,"grass",3,3,47,"rye",0,3,"NT",7,"Iowa","grain","Pantoja, Woli, Sawyer, Baker",2015,"2009, 2010, 2011","Split Plot",4,"Fine-loamy, mixed, superactive, mesic, Typic Hapludoll","Pioneer35K33_Pioneer33W84","5/7/2016",127,"10/7/2016",280,81500,153,"","wheeler","10/14/2016",287,"drilling",2802800,70,11,"4/26/2016",116,194,"chemical",0.97,NA,381.566,1300.25,1.45,18.16,18,"Corn and Soybean response to rye and nitrogen fertilization","G","north central","fine","medium","low","mid",-0.212780764278663,0.157385019465209
"73",73,"g22","22c",8.2,7.25,2.65,2.5,"grass",3,3,47,"rye",45,3,"NT",7,"Iowa","grain","Pantoja, Woli, Sawyer, Baker",2015,"2009, 2010, 2011","Split Plot",4,"Fine-loamy, mixed, superactive, mesic, Typic Hapludoll","Pioneer35K33_Pioneer33W84","5/7/2016",127,"10/7/2016",280,81500,153,"","wheeler","10/14/2016",287,"drilling",2802800,70,11,"4/26/2016",116,194,"chemical",0.91,NA,381.566,1300.25,1.45,18.16,17,"Corn and Soybean response to rye and nitrogen fertilization","G","north central","fine","medium","low","mid",-0.123132685403624,0.0755178261245795
"74",74,"g22","22d",10.5,9.5,2.65,2.5,"grass",3,3,47,"rye",90,3,"NT",7,"Iowa","grain","Pantoja, Woli, Sawyer, Baker",2015,"2009, 2010, 2011","Split Plot",4,"Fine-loamy, mixed, superactive, mesic, Typic Hapludoll","Pioneer35K33_Pioneer33W84","5/7/2016",127,"10/7/2016",280,81500,153,"","wheeler","10/14/2016",287,"drilling",2802800,70,11,"4/26/2016",116,194,"chemical",0.91,NA,381.566,1300.25,1.45,18.16,17,"Corn and Soybean response to rye and nitrogen fertilization","G","north central","fine","medium","low","mid",-0.100083458556983,0.0448336589175529
"75",75,"g22","22e",11.7,10.9,2.65,2.5,"grass",3,3,47,"rye",135,3,"NT",7,"Iowa","grain","Pantoja, Woli, Sawyer, Baker",2015,"2009, 2010, 2011","Split Plot",4,"Fine-loamy, mixed, superactive, mesic, Typic Hapludoll","Pioneer35K33_Pioneer33W84","5/7/2016",127,"10/7/2016",280,81500,153,"","wheeler","10/14/2016",287,"drilling",2802800,70,11,"4/26/2016",116,194,"chemical",1.02,NA,381.566,1300.25,1.45,18.16,19,"Corn and Soybean response to rye and nitrogen fertilization","G","north central","fine","medium","mid","mid",-0.0708260525686123,0.0349213581554308
"76",76,"g22","22f",12,11.2,2.65,2.5,"grass",3,3,47,"rye",180,3,"NT",7,"Iowa","grain","Pantoja, Woli, Sawyer, Baker",2015,"2009, 2010, 2011","Split Plot",4,"Fine-loamy, mixed, superactive, mesic, Typic Hapludoll","Pioneer35K33_Pioneer33W84","5/7/2016",127,"10/7/2016",280,81500,153,"","wheeler","10/14/2016",287,"drilling",2802800,70,11,"4/26/2016",116,194,"chemical",1.12,NA,381.566,1300.25,1.45,18.16,22,"Corn and Soybean response to rye and nitrogen fertilization","G","north central","fine","medium","mid","mid",-0.0689928714869516,0.0331285726095994
"77",77,"g22","22g",12.25,11.5,2.65,2.5,"grass",3,3,47,"rye",225,3,"NT",7,"Iowa","grain","Pantoja, Woli, Sawyer, Baker",2015,"2009, 2010, 2011","Split Plot",4,"Fine-loamy, mixed, superactive, mesic, Typic Hapludoll","Pioneer35K33_Pioneer33W84","5/7/2016",127,"10/7/2016",280,81500,153,"","wheeler","10/14/2016",287,"drilling",2802800,70,11,"4/26/2016",116,194,"chemical",1.28,NA,381.566,1300.25,1.45,18.16,26,"Corn and Soybean response to rye and nitrogen fertilization","G","north central","fine","medium","high","mid",-0.0631789016215316,0.0315831672740853
"78",81,"g24","25b",7.56,5.49,5.49,1.79,"grass",2,2,6,"rye",0,2,"NT",14,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3603600,90,6,"5/10/2016",114,209,"chemical",1.52,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","low","early",-0.319942934670002,0.528030605246214
"79",82,"g24","25c",7.56,8.97,8.97,1.79,"legume",2,2,6,"vetch",0,2,"NT",7,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",1361360,34,6,"5/10/2016",114,209,"chemical",1.16,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","low","mid",0.171014485879263,0.528030605246214
"80",83,"g24","25d",7.56,6.52,6.52,1.79,"biculture",2,2,6,"rye-vetch",0,2,"NT",1,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3843840,96,6,"5/10/2016",114,209,"chemical",0.99,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","low","late",-0.14799681425288,0.528030605246214
"81",84,"g24","25e",10.75,10.82,10.82,0.84,"grass",2,2,6,"rye",90,2,"NT",14,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3603600,90,6,"5/10/2016",114,209,"chemical",1.52,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","low","early",0.00649051884466371,0.503052893455922
"82",85,"g24","25f",10.75,12.01,12.01,0.84,"legume",2,2,6,"vetch",90,2,"NT",7,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",1361360,34,6,"5/10/2016",114,209,"chemical",1.16,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","low","mid",0.11083388151822,0.503052893455922
"83",86,"g24","25g",10.75,10.38,10.38,0.84,"biculture",2,2,6,"rye-vetch",90,2,"NT",1,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3843840,96,6,"5/10/2016",114,209,"chemical",0.99,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","low","late",-0.0350248768359292,0.503052893455922
"84",87,"g24","25h",11.71,11.12,11.12,0.39,"grass",2,2,6,"rye",180,2,"NT",14,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3603600,90,6,"5/10/2016",114,209,"chemical",1.52,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","mid","early",-0.0516978887871898,0.500554607104076
"85",88,"g24","25i",11.71,11.79,11.79,0.39,"legume",2,2,6,"vetch",180,2,"NT",7,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",1361360,34,6,"5/10/2016",114,209,"chemical",1.16,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","mid","mid",0.00680853693965353,0.500554607104076
"86",89,"g24","25j",11.71,11.79,11.79,0.39,"biculture",2,2,6,"rye-vetch",180,2,"NT",1,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3843840,96,6,"5/10/2016",114,209,"chemical",0.99,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","mid","late",0.00680853693965353,0.500554607104076
"87",90,"g24","25k",13.42,12.75,12.75,0.78,"grass",2,2,6,"rye",270,2,"NT",14,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3603600,90,6,"5/10/2016",114,209,"chemical",1.52,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","high","early",-0.0512148599391006,0.501689095395577
"88",91,"g24","25l",13.42,14.31,14.31,0.78,"legume",2,2,6,"vetch",270,2,"NT",7,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",1361360,34,6,"5/10/2016",114,209,"chemical",1.16,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","high","mid",0.0642124620248238,0.501689095395577
"89",92,"g24","25m",13.42,13.57,13.57,0.78,"biculture",2,2,6,"rye-vetch",270,2,"NT",1,"Illinois","grain","Miguez, Bollero",2006,"2002, 2003","RCBD",4,"Fine silty, mixed, superactive, mesic Typic endoaquoll",NA,"4/30/2016",120,"10/10/2016",283,NA,163,"",NA,"10/13/2016",286,"drilling",3843840,96,6,"5/10/2016",114,209,"chemical",0.99,10.2,1006.3,1007.7,6.26,19.45,NA,"Effect of ecophysiological characteristics on corn","G","north central","fine","medium fine","high","late",0.0111153423032421,0.501689095395577
"90",93,"g25","26b",9.8,8.4,0.34,0.42,"grass",6,6,15,"rye",168,6,"NT",7,"Iowa","grain","Dietzel, Liebman, Ewing, Helmers, Hoeton, Jarchow, Archontoulis",2015,"2008, 2009, 2010, 2011, 2012, 2013","RCBD",4,"Fine-loamy, mixed, superactive, mesic, typic Endoaquoll and fine-loamy, mixed, superactive, mesic Aquic Hapludoll","Agrigold 6325 VT3 and Pioneer P0448XR","5/12/2016",132,"10/7/2016",280,79500,148,"","Rymin","10/15/2016",288,"drilling",3e+05,7.4,7,"5/5/2016",125,202,"mechanical",0.84,15.5,1313,1404,9.4,9.4,84,"Water efficiency by several cropping systems","G","north central","fine","medium","mid","mid",-0.154150679827258,0.000579176114890401
"91",78,"f1","1a",9.45,9.26,2.78399,2.91719,"grass",4,4,9,"",0,4,"CT",14,"Washington","biomass","Kuo, Jellum",2002,"1994, 1995, 1997, 1998","RCBD 3 reps",3,"fine-silty mixed mesic Aquantic Xerochrept","Pioneer3846","5/30/2016",150,"9/25/2016",268,91000,118,"","unstated","10/7/2016",280,"drilling",5165160,129,15,"5/15/2016",135,220,"chemical",1.62,NA,NA,NA,NA,NA,35.19,"Effect of CC on soiL management and corn","F","north west","fine","medium fine","low","early",-0.0203106928475633,0.0464206490156307
